id,question,hop_count,reasoning_path,variant_type
11,"Phạm Minh Chính là tiền nhiệm của ai trong chức vụ Bí thư Tỉnh ủy Quảng Ninh, và người đó sinh năm bao nhiêu?
A) Phan Chí Hiếu - 1951
B) Nguyễn Văn Đọc - 1959
C) Nguyễn Văn Chuyên - 1966
D) Huỳnh Văn Be - 1956",2,"[""pol436788"", ""PRECEDED"", ""pol3282315"", ""BORN_YEAR"", ""YEAR_1959""]",Normal
12,"Trần Lưu Quang là tiền nhiệm của ai trong chức vụ Bí thư Tỉnh ủy Tây Ninh, và người đó giữ chức vụ Bí thư Tỉnh ủy Tây Ninh trong giai đoạn nào?
A) Tráng A Pao - từ 2029 đến 2030
B) Phan Văn Mãi - từ 2028 đến 2029
C) Phạm Viết Thanh - từ 2019-02-28 đến 2020-07-30
D) Lê Đức Thọ - từ 2017 đến 2018",2,"[""pol798260"", ""PRECEDED"", ""pol3702677"", ""TERM_DURATION"", ""DURATION_từ 2019-02-28 đến 2020-07-30""]",Normal
13,"Phan Như Lâm kế nhiệm ai trong chức vụ Chủ tịch Hội đồng Nhân dân Tp Đà Nẵng, và người đó mất năm bao nhiêu?
A) Đỗ Quang Thắng - 2010
B) Trương Quang Được - 2016
C) Lê Hồng Anh, Út Anh - 2022
D) Phạm Quốc Khánh - 2008",2,"[""pol15075013"", ""SUCCEEDED"", ""pol1462803"", ""DIED_YEAR"", ""YEAR_2016""]",Normal
14,"Phan Thị Thanh Tâm là tiền nhiệm của ai trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, người đó kế nhiệm ai trong chức vụ Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam, và người cuối cùng giữ chức vụ Phó Tổng Thanh tra Chính phủ trong giai đoạn nào?
A) Võ Văn Thưởng - Nguyễn Xuân Phúc - từ 2006-03 đến 2006-05
B) Hà Thị Nga - Nguyễn Thị Định - từ 2002 đến 2002
C) Phùng Xuân Nhạ - Đoàn Văn Việt - từ 2012 đến 2012
D) Phạm Quốc Khánh - Võ Thành Trinh - từ 2004 đến 2004",3,"[""pol19795666"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol459014"", ""TERM_DURATION"", ""DURATION_từ 2006-03 đến 2006-05""]",Normal
15,"Nguyễn Xuân Đông kế nhiệm ai trong chức vụ Chủ tịch Ủy ban nhân dân tỉnh Hà Nam, và người đó giữ chức vụ Bộ trưởng, Chủ nhiệm Văn phòng Chính phủ trong giai đoạn nào?
A) Nguyễn Hữu Mai - từ 2017 đến 2022
B) Nguyễn Ngọc Thiện - từ 2009 đến 2014
C) Mai Tiến Dũng - từ 2016-04-09 đến 2021-04-07
D) Đoàn Văn Việt - từ 2006 đến 2011",2,"[""pol3711586"", ""SUCCEEDED"", ""pol3210168"", ""TERM_DURATION"", ""DURATION_từ 2016-04-09 đến 2021-04-07""]",Normal
16,"Sùng A Hồng là tiền nhiệm của ai trong chức vụ Giám đốc Công an tỉnh Điện Biên, và người đó có học vị gì?
A) Nguyễn Khắc Thận - Phó Giáo sư
B) Nguyễn Huy Đức - Chính trị gia
C) Phạm Hồng Tâm - Thạc sĩ Xây dựng đường ô tô và đường thành phố
D) Tráng A Tủa - 'Thạc sĩ'",2,"[""pol1463277"", ""PRECEDED"", ""pol19695921"", ""HAS_ACADEMIC_TITLE"", ""aca3698506_003""]",Normal
17,"Nông Đức Mạnh kế nhiệm ai trong chức vụ Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, Bí thư Quân ủy Trung ương, và người đó giữ chức vụ Chủ nhiệm Tổng cục Chính trị, Quân đội nhân dân Việt Nam trong giai đoạn nào?
A) Lê Khả Phiêu - từ 1991-09 đến 1997-12
B) Vương Đình Huệ - từ 1988 đến 1994
C) Cư Hòa Vần - từ 1992 đến 1998
D) Ngô Xuân Lộc - từ 1981 đến 1987",2,"[""pol6293"", ""SUCCEEDED"", ""pol24330"", ""TERM_DURATION"", ""DURATION_từ 1991-09 đến 1997-12""]",Normal
18,"Phan Thị Thanh Tâm là tiền nhiệm của ai trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, người đó là tiền nhiệm của ai trong chức vụ Bí thư thứ nhất Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh, và người cuối cùng giữ chức vụ Đại biểu Quốc hội khóa XIII, XIV, XV trong giai đoạn nào?
A) Huỳnh Minh Tuấn - Võ Trọng Hải - từ 2007
B) Trần Quốc Cường - Nguyễn Văn Công - từ 2012
C) Nguyễn Văn Lạng - Triệu Thế Hùng - từ 2006
D) Võ Văn Thưởng - Nguyễn Đắc Vinh - từ 2011-05-22 đến nay",3,"[""pol19795666"", ""PRECEDED"", ""pol248258"", ""PRECEDED"", ""pol660401"", ""TERM_DURATION"", ""DURATION_từ 2011-05-22 đến nay""]",Normal
19,"Quản Minh Cường là tiền nhiệm của ai trong chức vụ Phó Trưởng Ban Tổ chức Trung ương, người đó kế nhiệm ai trong chức vụ Trưởng ban Tổ chức Trung ương, và người cuối cùng có học vị gì?
A) Võ Hồng Phúc - Nguyễn Sỹ Thăng - 'VS'
B) Phạm Minh Chính - Tô Huy Rứa - Cử nhân Toán học
C) Nguyễn Đình Trung - Đặng Văn Hiếu - Thạc sĩ Tài chính công
D) Thuận Hữu, (Nguyễn Hữu Thuận) - Trần Văn Truyền - chuyên ngành Hệ sinh thái và Tính đa dạng sinh học",3,"[""pol19777570"", ""PRECEDED"", ""pol436788"", ""SUCCEEDED"", ""pol318392"", ""HAS_ACADEMIC_TITLE"", ""aca318392_002""]",Normal
20,"Võ Thị Ánh Xuân kế nhiệm ai trong chức vụ Phó Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam, người đó kế nhiệm ai trong chức vụ Phó Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, và người cuối cùng sinh ở đâu?
A) Lê Hữu Lộc - Cao Văn Trọng - Khánh Hòa
B) Nguyễn Thị Thủy Khiêm - Đỗ Thanh Bình - Bắc Ninh
C) Đặng Thị Ngọc Thịnh - Nguyễn Thị Doan - Hà Nam
D) Hồ Trọng Ngũ - Võ Văn Dũng - Lào",3,"[""pol3280810"", ""SUCCEEDED"", ""pol1463457"", ""SUCCEEDED"", ""pol110161"", ""BORN_AT"", ""loc591117_001""]",Normal
21,"Cao Đức Phát là tiền nhiệm của ai trong chức vụ Phó Trưởng ban Thường trực Ban Kinh tế Trung ương, và người đó giữ chức vụ Phó Trưởng ban Thường trực Ban Kinh tế Trung ương trong giai đoạn nào?
A) Hồ Thị Kim Thoa - từ 2027 đến 2028
B) Nguyễn Văn Phương - từ 2024 đến 2025
C) Nguyễn Thành Phong - từ 2021-08-20 đến 2022-10-31
D) Đoàn Duy Thành - từ 2011 đến 2012",2,"[""pol108361"", ""PRECEDED"", ""pol457607"", ""TERM_DURATION"", ""DURATION_từ 2021-08-20 đến 2022-10-31""]",Normal
22,"Phạm Viết Thanh kế nhiệm ai trong chức vụ Chủ tịch Hội đồng Nhân dân tỉnh Bà Rịa-Vũng Tàu, và người đó có học vị gì?
A) Nguyễn Thanh Bình - kĩ sư đường ô tô
B) Nguyễn Hồng Lĩnh - Cử nhân Kinh tế
C) Bùi Thanh Khiết - Tiến sĩ chuyên ngành Tội phạm học và điều tra Tội phạm
D) Võ Văn Dũng - Trung học sư phạm",2,"[""pol3702677"", ""SUCCEEDED"", ""pol1464760"", ""HAS_ACADEMIC_TITLE"", ""aca13653301_001""]",Normal
23,"Nguyễn Trọng Nghĩa kế nhiệm ai trong chức vụ Trưởng Ban Tuyên giáo Trung ương, và người đó giữ chức vụ Bí thư Tỉnh ủy Quảng Ngãi, (Đã bị cách chức) trong giai đoạn nào?
A) Võ Văn Thưởng - từ 2011-08-11 đến 2014-04-15
B) Nguyễn Văn Được - từ 2021 đến 2024
C) Đinh Công Sỹ - từ 2006 đến 2009
D) Trần Thị Trung Chiến - từ 2012 đến 2015",2,"[""pol3156606"", ""SUCCEEDED"", ""pol248258"", ""TERM_DURATION"", ""DURATION_từ 2011-08-11 đến 2014-04-15""]",Normal
24,"Lương Cường kế nhiệm ai trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, người đó kế nhiệm ai trong chức vụ Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, và người cuối cùng giữ chức vụ Bí thư Thành ủy Hà Nội trong giai đoạn nào?
A) Nguyễn Thái Hưng - Hoàng Quốc Việt - từ 2010 đến 2016
B) Đỗ Thanh Bình - Trần Sự - từ 1992 đến 1998
C) Huỳnh Cương - Nguyễn Duy Quý - từ 1998 đến 2004
D) Tô Lâm - Nguyễn Phú Trọng - từ 2000-01-06 đến 2006-06-26",3,"[""pol3161938"", ""SUCCEEDED"", ""pol808289"", ""SUCCEEDED"", ""pol46636"", ""TERM_DURATION"", ""DURATION_từ 2000-01-06 đến 2006-06-26""]",Normal
25,"Lưu Bình Nhưỡng là tiền nhiệm của ai trong chức vụ Phó trưởng Ban Dân nguyện Quốc hội Việt Nam, và người đó có học vị gì?
A) Nguyễn Đăng Kính - Thạc sĩ cầu đường
B) Trần Thị Nhị Hà - Cử nhân Luật
C) Tráng Thị Xuân - Tiến sĩ Địa hóa học
D) Lê Thành Long - Chuẩn Đô đốc",2,"[""pol3695313"", ""PRECEDED"", ""pol19787798"", ""HAS_ACADEMIC_TITLE"", ""aca1749503_001""]",Normal
26,"Nông Đức Mạnh kế nhiệm ai trong chức vụ Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, Bí thư Quân ủy Trung ương, và người đó giữ chức vụ Đại biểu Quốc hội trong giai đoạn nào?
A) Phan Huy Ngọc - từ 1983 đến 1993
B) Dương Văn Thống - từ 1989 đến 1999
C) Trần Kim Yến - từ 1993 đến 2003
D) Lê Khả Phiêu - từ 1992-09-19 đến 2002-07-18",2,"[""pol6293"", ""SUCCEEDED"", ""pol24330"", ""TERM_DURATION"", ""DURATION_từ 1992-09-19 đến 2002-07-18""]",Normal
27,"Trần Thị Nguyệt Thu là tiền nhiệm của ai trong chức vụ Phu nhân của Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, người đó là tiền nhiệm của ai trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, và người cuối cùng giữ chức vụ Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam trong giai đoạn nào?
A) Phan Thị Thanh Tâm - Võ Văn Thưởng - từ 2023-03-02 đến 2024-03-21
B) Nguyễn Thị Ngọc Phượng - Nguyễn Thành Tài - từ 2020 đến 2021
C) Hoàng Anh - Nguyễn Văn Ba - từ 2013 đến 2014
D) Lê Tiến Phương - Trần Thị Nhị Hà - từ 2022 đến 2023",3,"[""pol19781134"", ""PRECEDED"", ""pol19795666"", ""PRECEDED"", ""pol248258"", ""TERM_DURATION"", ""DURATION_từ 2023-03-02 đến 2024-03-21""]",Normal
28,"Phan Thị Thanh Tâm là tiền nhiệm của ai trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, người đó kế nhiệm ai trong chức vụ Bí thư thứ nhất Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh, và người cuối cùng sinh ở đâu?
A) Hoàng Thế Thiện - Lê Tiến Phương - Bến Tre
B) Nguyễn Phước Lộc - Nguyễn Văn Yểu - Ninh Bình
C) Võ Văn Thưởng - Đào Ngọc Dung - Hà Nam
D) Lưu Xuân Vĩnh - Võ Thị Ánh Xuân - Quảng Ninh",3,"[""pol19795666"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol579243"", ""BORN_AT"", ""loc591117_001""]",Normal
29,"Trần Thị Nguyệt Thu là tiền nhiệm của ai trong chức vụ Phu nhân của Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, người đó là tiền nhiệm của ai trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, người đó kế nhiệm ai trong chức vụ Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam, và người cuối cùng giữ chức vụ Phó Thủ tướng Thường trực Chính phủ trong giai đoạn nào?
A) Nguyễn Doãn Khánh - Lê Vĩnh Tân - Võ Văn Hoan - từ 2001 đến 2006
B) Phan Thị Thanh Tâm - Võ Văn Thưởng - Nguyễn Xuân Phúc - từ 2011-08-03 đến 2016-04-07
C) Nguyễn Văn Yểu - Phạm Thị Hải Chuyền - Phan Ngọc Thọ - từ 2004 đến 2009
D) Nguyễn Thị Thanh Hòa - Trần Văn Tuấn - Nông Quốc Tuấn - từ 2009 đến 2014",4,"[""pol19781134"", ""PRECEDED"", ""pol19795666"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol459014"", ""TERM_DURATION"", ""DURATION_từ 2011-08-03 đến 2016-04-07""]",Normal
30,"Phạm Minh Chính kế nhiệm ai trong chức vụ Bí thư Tỉnh ủy Quảng Ninh, và người đó giữ chức vụ Thứ trưởng, Bộ Bưu chính-Viễn thông trong giai đoạn nào?
A) Trương Tấn Sang - từ 2014 đến 2016
B) Trần Ngọc Khánh - từ 2012 đến 2014
C) Lê Phước Thanh - từ 2011 đến 2013
D) Vũ Đức Đam - từ 2005-08 đến 2007-11",2,"[""pol436788"", ""SUCCEEDED"", ""pol475335"", ""TERM_DURATION"", ""DURATION_từ 2005-08 đến 2007-11""]",Normal
31,"Nguyễn Trọng Nghĩa kế nhiệm ai trong chức vụ Trưởng Ban Tuyên giáo Trung ương, người đó kế nhiệm ai trong chức vụ Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam, và người cuối cùng có học vị gì?
A) Võ Văn Thưởng - Nguyễn Xuân Phúc - Cử nhân Kinh tế
B) Lê Thanh Nghị - Cư Hòa Vần - Giáo sư-Tiến sĩ Kinh tế
C) Trần Đức Tuấn - Hồng Hà - Học viện An ninh nhân dân
D) Lê Quốc Chỉnh - Đỗ Ngọc An - Thạc sĩ Kinh tế học",3,"[""pol3156606"", ""SUCCEEDED"", ""pol248258"", ""SUCCEEDED"", ""pol459014"", ""HAS_ACADEMIC_TITLE"", ""aca13653301_001""]",Normal
32,"Bùi Văn Khánh là tiền nhiệm của ai trong chức vụ Chủ tịch Ủy ban nhân dân tỉnh Hòa Bình, và người đó sinh năm bao nhiêu?
A) Hoàng Thị Thúy Lan - 1970
B) Trần Quý Hai, (Bùi Chấn) - 1966
C) Bùi Đức Hinh - 1968
D) Quách Lê Thanh - 1966",2,"[""pol15221423"", ""PRECEDED"", ""pol19670152"", ""BORN_YEAR"", ""YEAR_1968""]",Normal
33,"Trần Thị Nguyệt Thu là tiền nhiệm của ai trong chức vụ Phu nhân của Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, người đó là tiền nhiệm của ai trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, người đó kế nhiệm ai trong chức vụ Bí thư thứ nhất Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh, và người cuối cùng giữ chức vụ Chủ tịch Hội đồng nhân dân tỉnh Yên Bái trong giai đoạn nào?
A) Hoàng Văn Hoan - Phạm Văn Dần - Hoàng Dân Mạc - từ 2004 đến 2004
B) Phan Thị Thanh Tâm - Võ Văn Thưởng - Đào Ngọc Dung - từ 2011-06-20 đến 2011-12-19
C) Nghiêm Xuân Yêm - Nguyễn Quang Dũng - Vũ Hải Sản - từ 2012 đến 2012
D) Vũ Văn Hiến - Lương Việt Hùng - Trần Thị Nhị Hà - từ 2007 đến 2007",4,"[""pol19781134"", ""PRECEDED"", ""pol19795666"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol579243"", ""TERM_DURATION"", ""DURATION_từ 2011-06-20 đến 2011-12-19""]",Normal
34,"Lương Cường là tiền nhiệm của ai trong chức vụ Thường trực Ban Bí thư Trung ương Đảng Cộng sản Việt Nam, và người đó tốt nghiệp trường nào?
A) Nguyễn Côn - Đại học Thanh vận
B) A Nhin, (Hà Sơn Nhin) - Đại học Bách khoa Khác-cốp
C) Nguyễn Chánh, Chí Thuần - Trường Đại học Luật Thành phố Hồ Chí Minh
D) Trương Thị Mai - Đại học Quốc gia Hà Nội",2,"[""pol3161938"", ""PRECEDED"", ""pol841947"", ""ALUMNUS_OF"", ""alm841947_003""]",Normal
35,"Cao Đức Phát là tiền nhiệm của ai trong chức vụ Phó Trưởng ban Thường trực Ban Kinh tế Trung ương, và người đó giữ chức vụ Chủ tịch Ủy ban nhân dân, Thành phố Hồ Chí Minh trong giai đoạn nào?
A) Lê Tấn Tảo - từ 2007 đến 2013
B) Võ Thị Như Hoa - từ 2013 đến 2019
C) Nguyễn Thành Phong - từ 2015-12-11 đến 2021-08-24
D) Huỳnh Năm - từ 2005 đến 2011",2,"[""pol108361"", ""PRECEDED"", ""pol457607"", ""TERM_DURATION"", ""DURATION_từ 2015-12-11 đến 2021-08-24""]",Normal
36,"Trịnh Đình Dũng là tiền nhiệm của ai trong chức vụ Bộ trưởng Bộ Xây dựng Việt Nam, và người đó sinh ở đâu?
A) Phạm Hồng Hà - Nam Định
B) Nguyễn Văn Lưu - Lai Châu
C) Nguyễn Dương Thái - Lai Châu
D) Hoàng Văn Hà - Hải Dương",2,"[""pol55980"", ""PRECEDED"", ""pol1463238"", ""BORN_AT"", ""loc3169162_001""]",Normal
37,"Phan Thị Thanh Tâm là tiền nhiệm của ai trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, người đó kế nhiệm ai trong chức vụ Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam, và người cuối cùng giữ chức vụ Thứ trưởng, Phó Chủ nhiệm Thường trực Văn phòng Chính phủ trong giai đoạn nào?
A) Trung tướng Hồ Văn Thái - Phạm Quý Tỵ - từ 2008 đến 2009
B) Bùi Đức Hinh - Trần Thị Tâm Đan - từ 2010 đến 2011
C) Dương Văn Thăng - Trần Kim Yến - từ 2012 đến 2013
D) Võ Văn Thưởng - Nguyễn Xuân Phúc - từ 2006-06-01 đến 2007-08-02",3,"[""pol19795666"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol459014"", ""TERM_DURATION"", ""DURATION_từ 2006-06-01 đến 2007-08-02""]",Normal
38,"Trần Thị Nguyệt Thu là tiền nhiệm của ai trong chức vụ Phu nhân của Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, người đó là tiền nhiệm của ai trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, người đó kế nhiệm ai trong chức vụ Chủ tịch Hội Liên hiệp Thanh niên Việt Nam, và người cuối cùng giữ chức vụ Chủ tịch Hội Liên hiệp Thanh niên Việt Nam trong giai đoạn nào?
A) Vũ Đại Thắng - Nguyễn Thị Kim Thúy - Nguyễn Trường Giang - từ 2008 đến 2011
B) Phan Thị Thanh Tâm - Võ Văn Thưởng - Nông Quốc Tuấn - từ 2005 đến 2008
C) Trần Văn Chung - Đồng Văn Lâm - Huỳnh Tấn Việt - từ 2007 đến 2010
D) Vương Thừa Vũ - Nguyễn Hữu Đông - Lê Văn Thi - từ 2010 đến 2013",4,"[""pol19781134"", ""PRECEDED"", ""pol19795666"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol71123"", ""TERM_DURATION"", ""DURATION_từ 2005 đến 2008""]",Normal
39,"Võ Chí Công kế nhiệm ai trong chức vụ Bộ trưởng Bộ Nông nghiệp, và người đó nhận giải thưởng gì?
A) Hồ Đức Phớc - Huân chương Kháng chiến chống Mỹ
B) Vũ Oanh - Huân chương Độc lập hạng Nhất
C) Võ Thúc Đồng - Huy hiệu 70 năm tuổi Đảng
D) Nguyễn Ngọc Quang - Huy chương kỷ niệm 40 năm chiến thắng Vệ quốc vĩ đại 1945-1985",2,"[""pol83336"", ""SUCCEEDED"", ""pol1519390"", ""AWARDED"", ""awa1684356_001""]",Normal
40,"Nguyễn Văn Hiện kế nhiệm ai trong chức vụ Chánh án Tòa án nhân dân Tối cao Việt Nam, và người đó mất năm bao nhiêu?
A) Trịnh Hồng Dương - 2008
B) Đào Việt Trung - 2018
C) Nguyễn Văn Đạo - 2010
D) Đặng Duy Báu - 2002",2,"[""pol1463256"", ""SUCCEEDED"", ""pol1462804"", ""DIED_YEAR"", ""YEAR_2008""]",Normal
