id,question,hop_count,reasoning_path,variant_type
15,"Nguyễn Xuân Đông kế nhiệm Hồ Việt trong chức vụ Chủ tịch Ủy ban nhân dân tỉnh Hà Nam, Hồ Việt giữ chức vụ Bộ trưởng, Chủ nhiệm Văn phòng Chính phủ từ 2016-04-09 đến 2021-04-07. Đúng hay sai?",2,"[""pol3711586"", ""SUCCEEDED"", ""pol14720937"", ""TERM_DURATION"", ""DURATION_từ 2016-04-09 đến 2021-04-07""]",Normal
16,"Sùng A Hồng là tiền nhiệm của Tráng A Tủa trong chức vụ Giám đốc Công an tỉnh Điện Biên, Tráng A Tủa có học vị 'Thạc sĩ'. Đúng hay sai?",2,"[""pol1463277"", ""PRECEDED"", ""pol19695921"", ""HAS_ACADEMIC_TITLE"", ""aca3698506_003""]",Normal
17,"Nông Đức Mạnh kế nhiệm Lê Khả Phiêu trong chức vụ Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, Bí thư Quân ủy Trung ương, Lê Khả Phiêu giữ chức vụ Chủ nhiệm Tổng cục Chính trị, Quân đội nhân dân Việt Nam từ 1991-09 đến 1997-12. Đúng hay sai?",2,"[""pol6293"", ""SUCCEEDED"", ""pol24330"", ""TERM_DURATION"", ""DURATION_từ 1991-09 đến 1997-12""]",Normal
18,"Phan Thị Thanh Tâm là tiền nhiệm của Võ Văn Thưởng trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Võ Văn Thưởng là tiền nhiệm của Nguyễn Chí Vịnh trong chức vụ Bí thư thứ nhất Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh, Nguyễn Chí Vịnh giữ chức vụ Đại biểu Quốc hội khóa XIII, XIV, XV từ 2011-05-22 đến nay. Đúng hay sai?",3,"[""pol19795666"", ""PRECEDED"", ""pol248258"", ""PRECEDED"", ""pol59548"", ""TERM_DURATION"", ""DURATION_từ 2011-05-22 đến nay""]",Normal
19,"Quản Minh Cường là tiền nhiệm của Phạm Minh Chính trong chức vụ Phó Trưởng Ban Tổ chức Trung ương, Phạm Minh Chính kế nhiệm Tô Huy Rứa trong chức vụ Trưởng ban Tổ chức Trung ương, Tô Huy Rứa có học vị 'Thạc sĩ'. Đúng hay sai?",3,"[""pol19777570"", ""PRECEDED"", ""pol436788"", ""SUCCEEDED"", ""pol318392"", ""HAS_ACADEMIC_TITLE"", ""aca3698506_003""]",Normal
20,"Võ Thị Ánh Xuân kế nhiệm Đặng Thị Ngọc Thịnh trong chức vụ Phó Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam, Đặng Thị Ngọc Thịnh kế nhiệm Nguyễn Thị Doan trong chức vụ Phó Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Nguyễn Thị Doan sinh năm 1951 tại Hà Nam. Đúng hay sai?",3,"[""pol3280810"", ""SUCCEEDED"", ""pol1463457"", ""SUCCEEDED"", ""pol110161"", ""BORN_AT"", ""loc591117_001""]",Normal
21,"Cao Đức Phát là tiền nhiệm của Nguyễn Thành Phong trong chức vụ Phó Trưởng ban Thường trực Ban Kinh tế Trung ương, Nguyễn Thành Phong giữ chức vụ Phó Trưởng ban Thường trực Ban Kinh tế Trung ương từ 2021-08-20 đến 2022-10-31. Đúng hay sai?",2,"[""pol108361"", ""PRECEDED"", ""pol457607"", ""TERM_DURATION"", ""DURATION_từ 2021-08-20 đến 2022-10-31""]",Normal
22,"Phạm Viết Thanh kế nhiệm Nguyễn Hồng Lĩnh trong chức vụ Chủ tịch Hội đồng Nhân dân tỉnh Bà Rịa-Vũng Tàu, Nguyễn Hồng Lĩnh có học vị Cử nhân Xây dựng Đảng. Đúng hay sai?",2,"[""pol3702677"", ""SUCCEEDED"", ""pol1464760"", ""HAS_ACADEMIC_TITLE"", ""aca591117_001""]",Normal
23,"Nguyễn Trọng Nghĩa kế nhiệm Võ Văn Thưởng trong chức vụ Trưởng Ban Tuyên giáo Trung ương, Võ Văn Thưởng giữ chức vụ Bí thư Tỉnh ủy Quảng Ngãi, (Đã bị cách chức) từ 2011-08-11 đến 2014-04-15. Đúng hay sai?",2,"[""pol3156606"", ""SUCCEEDED"", ""pol248258"", ""TERM_DURATION"", ""DURATION_từ 2011-08-11 đến 2014-04-15""]",Normal
24,"Lương Cường kế nhiệm Bùi Đức Hạnh trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Bùi Đức Hạnh kế nhiệm Nguyễn Phú Trọng trong chức vụ Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, Nguyễn Phú Trọng giữ chức vụ Bí thư Thành ủy Hà Nội từ 2000-01-06 đến 2006-06-26. Đúng hay sai?",3,"[""pol3161938"", ""SUCCEEDED"", ""pol3394631"", ""SUCCEEDED"", ""pol46636"", ""TERM_DURATION"", ""DURATION_từ 2000-01-06 đến 2006-06-26""]",Normal
25,"Lưu Bình Nhưỡng là tiền nhiệm của Trần Thị Nhị Hà trong chức vụ Phó trưởng Ban Dân nguyện Quốc hội Việt Nam, Trần Thị Nhị Hà có học vị Tiến sĩ Kỹ thuật ngành Chỉnh trị Sông và Bờ biển. Đúng hay sai?",2,"[""pol3695313"", ""PRECEDED"", ""pol19787798"", ""HAS_ACADEMIC_TITLE"", ""aca14994998_001""]",Normal
26,"Nông Đức Mạnh kế nhiệm Lê Khả Phiêu trong chức vụ Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, Bí thư Quân ủy Trung ương, Lê Khả Phiêu giữ chức vụ Đại biểu Quốc hội từ 1992-09-19 đến 2002-07-18. Đúng hay sai?",2,"[""pol6293"", ""SUCCEEDED"", ""pol24330"", ""TERM_DURATION"", ""DURATION_từ 1992-09-19 đến 2002-07-18""]",Normal
27,"Trần Thị Nguyệt Thu là tiền nhiệm của Phan Thị Thanh Tâm trong chức vụ Phu nhân của Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Phan Thị Thanh Tâm là tiền nhiệm của Võ Trần Chí trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Võ Trần Chí giữ chức vụ Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam từ 2023-03-02 đến 2024-03-21. Đúng hay sai?",3,"[""pol19781134"", ""PRECEDED"", ""pol19795666"", ""PRECEDED"", ""pol826460"", ""TERM_DURATION"", ""DURATION_từ 2023-03-02 đến 2024-03-21""]",Normal
28,"Phan Thị Thanh Tâm là tiền nhiệm của Võ Văn Thưởng trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Võ Văn Thưởng kế nhiệm Đào Ngọc Dung trong chức vụ Bí thư thứ nhất Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh, Đào Ngọc Dung sinh năm 1962 tại Hà Nam. Đúng hay sai?",3,"[""pol19795666"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol579243"", ""BORN_AT"", ""loc591117_001""]",Normal
29,"Trần Thị Nguyệt Thu là tiền nhiệm của Nguyễn Văn Mạnh trong chức vụ Phu nhân của Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Nguyễn Văn Mạnh là tiền nhiệm của Võ Văn Thưởng trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Võ Văn Thưởng kế nhiệm Nguyễn Xuân Phúc trong chức vụ Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam, Nguyễn Xuân Phúc giữ chức vụ Phó Thủ tướng Thường trực Chính phủ từ 2011-08-03 đến 2016-04-07. Đúng hay sai?",4,"[""pol19781134"", ""PRECEDED"", ""pol19790571"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol459014"", ""TERM_DURATION"", ""DURATION_từ 2011-08-03 đến 2016-04-07""]",Normal
30,"Phạm Minh Chính kế nhiệm Vũ Đức Đam trong chức vụ Bí thư Tỉnh ủy Quảng Ninh, Vũ Đức Đam giữ chức vụ Thứ trưởng, Bộ Bưu chính-Viễn thông từ 2005-08 đến 2007-11. Đúng hay sai?",2,"[""pol436788"", ""SUCCEEDED"", ""pol475335"", ""TERM_DURATION"", ""DURATION_từ 2005-08 đến 2007-11""]",Normal
31,"Nguyễn Trọng Nghĩa kế nhiệm Võ Văn Thưởng trong chức vụ Trưởng Ban Tuyên giáo Trung ương, Võ Văn Thưởng kế nhiệm Phạm Hoàng Bê trong chức vụ Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam, Phạm Hoàng Bê có học vị Cử nhân Kinh tế. Đúng hay sai?",3,"[""pol3156606"", ""SUCCEEDED"", ""pol248258"", ""SUCCEEDED"", ""pol19523151"", ""HAS_ACADEMIC_TITLE"", ""aca13653301_001""]",Normal
32,"Bùi Văn Khánh là tiền nhiệm của Bùi Đức Hinh trong chức vụ Chủ tịch Ủy ban nhân dân tỉnh Hòa Bình, Bùi Đức Hinh sinh năm 1968. Đúng hay sai?",2,"[""pol15221423"", ""PRECEDED"", ""pol19670152"", ""BORN_YEAR"", ""YEAR_1968""]",Normal
33,"Trần Thị Nguyệt Thu là tiền nhiệm của Phan Thị Thanh Tâm trong chức vụ Phu nhân của Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Phan Thị Thanh Tâm là tiền nhiệm của Võ Văn Thưởng trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Võ Văn Thưởng kế nhiệm Lâm Văn Đoan trong chức vụ Bí thư thứ nhất Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh, Lâm Văn Đoan giữ chức vụ Chủ tịch Hội đồng nhân dân tỉnh Yên Bái từ 2011-06-20 đến 2011-12-19. Đúng hay sai?",4,"[""pol19781134"", ""PRECEDED"", ""pol19795666"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol19778712"", ""TERM_DURATION"", ""DURATION_từ 2011-06-20 đến 2011-12-19""]",Normal
34,"Lương Cường là tiền nhiệm của Trương Thị Mai trong chức vụ Thường trực Ban Bí thư Trung ương Đảng Cộng sản Việt Nam, Trương Thị Mai là cựu sinh viên của Đại học Quốc gia Hà Nội. Đúng hay sai?",2,"[""pol3161938"", ""PRECEDED"", ""pol841947"", ""ALUMNUS_OF"", ""alm841947_003""]",Normal
35,"Cao Đức Phát là tiền nhiệm của Trương Quang Được trong chức vụ Phó Trưởng ban Thường trực Ban Kinh tế Trung ương, Trương Quang Được giữ chức vụ Chủ tịch Ủy ban nhân dân, Thành phố Hồ Chí Minh từ 2015-12-11 đến 2021-08-24. Đúng hay sai?",2,"[""pol108361"", ""PRECEDED"", ""pol1462803"", ""TERM_DURATION"", ""DURATION_từ 2015-12-11 đến 2021-08-24""]",Normal
36,"Trịnh Đình Dũng là tiền nhiệm của Phạm Hồng Hà trong chức vụ Bộ trưởng Bộ Xây dựng Việt Nam, Phạm Hồng Hà sinh năm 1958 tại Nam Định. Đúng hay sai?",2,"[""pol55980"", ""PRECEDED"", ""pol1463238"", ""BORN_AT"", ""loc3169162_001""]",Normal
37,"Phan Thị Thanh Tâm là tiền nhiệm của Võ Văn Thưởng trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Võ Văn Thưởng kế nhiệm Nguyễn Xuân Phúc trong chức vụ Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam, Nguyễn Xuân Phúc giữ chức vụ Thứ trưởng, Phó Chủ nhiệm Thường trực Văn phòng Chính phủ từ 2006-06-01 đến 2007-08-02. Đúng hay sai?",3,"[""pol19795666"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol459014"", ""TERM_DURATION"", ""DURATION_từ 2006-06-01 đến 2007-08-02""]",Normal
38,"Trần Thị Nguyệt Thu là tiền nhiệm của Đỗ Văn Hoành trong chức vụ Phu nhân của Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Đỗ Văn Hoành là tiền nhiệm của Võ Văn Thưởng trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Võ Văn Thưởng kế nhiệm Nông Quốc Tuấn trong chức vụ Chủ tịch Hội Liên hiệp Thanh niên Việt Nam, Nông Quốc Tuấn giữ chức vụ Chủ tịch Hội Liên hiệp Thanh niên Việt Nam từ 2005 đến 2008. Đúng hay sai?",4,"[""pol19781134"", ""PRECEDED"", ""pol19823645"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol71123"", ""TERM_DURATION"", ""DURATION_từ 2005 đến 2008""]",Normal
39,"Võ Chí Công kế nhiệm Võ Thúc Đồng trong chức vụ Bộ trưởng Bộ Nông nghiệp, Võ Thúc Đồng được trao tặng Huân chương Hữu nghị của Liên bang Nga. Đúng hay sai?",2,"[""pol83336"", ""SUCCEEDED"", ""pol1519390"", ""AWARDED"", ""awa49761_008""]",Normal
40,"Nguyễn Văn Hiện kế nhiệm Trịnh Hồng Dương trong chức vụ Chánh án Tòa án nhân dân Tối cao Việt Nam, Trịnh Hồng Dương mất năm 2008. Đúng hay sai?",2,"[""pol1463256"", ""SUCCEEDED"", ""pol1462804"", ""DIED_YEAR"", ""YEAR_2008""]",Normal
41,"Trần Thị Nguyệt Thu là tiền nhiệm của Phan Thị Thanh Tâm trong chức vụ Phu nhân của Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Phan Thị Thanh Tâm là tiền nhiệm của Võ Văn Thưởng trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Võ Văn Thưởng kế nhiệm Nông Quốc Tuấn trong chức vụ Chủ tịch Hội Liên hiệp Thanh niên Việt Nam, Nông Quốc Tuấn giữ chức vụ Bí thư Tỉnh ủy Bắc Giang từ 2010-08-03 đến 2012-06-04. Đúng hay sai?",4,"[""pol19781134"", ""PRECEDED"", ""pol19795666"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol71123"", ""TERM_DURATION"", ""DURATION_từ 2010-08-03 đến 2012-06-04""]",Normal
42,"Nguyễn Vĩnh Nghiệp là tiền nhiệm của Võ Chí Công trong chức vụ Chủ tịch Ủy ban nhân dân Thành phố Hồ Chí Minh, Võ Chí Công giữ chức vụ Chủ tịch danh dự Hội Chữ Thập đỏ Việt Nam từ 2012-07-05 đến 2016-08-16. Đúng hay sai?",2,"[""pol138738"", ""PRECEDED"", ""pol83336"", ""TERM_DURATION"", ""DURATION_từ 2012-07-05 đến 2016-08-16""]",Normal
43,"Nguyễn Chấn kế nhiệm Nguyễn Hữu Mai trong chức vụ Bộ trưởng Bộ Điện và Than, Nguyễn Hữu Mai sinh năm 1914 tại Nam Định. Đúng hay sai?",2,"[""pol19488682"", ""SUCCEEDED"", ""pol1519379"", ""BORN_AT"", ""loc3169162_001""]",Normal
44,"Phạm Gia Khiêm kế nhiệm Đặng Hữu trong chức vụ Bộ trưởng Bộ Khoa học, Công nghệ và Môi trường, Đặng Hữu sinh năm 1930 tại Gia Lai. Đúng hay sai?",2,"[""pol55714"", ""SUCCEEDED"", ""pol1406006"", ""BORN_AT"", ""loc324793_001""]",Normal
45,"Lương Cường kế nhiệm Phạm Thị Hải Chuyền trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Phạm Thị Hải Chuyền kế nhiệm Nguyễn Phú Trọng trong chức vụ Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, Nguyễn Phú Trọng có học vị Tiến sĩ. Đúng hay sai?",3,"[""pol3161938"", ""SUCCEEDED"", ""pol808137"", ""SUCCEEDED"", ""pol46636"", ""HAS_ACADEMIC_TITLE"", ""aca436788_007""]",Normal
46,"Phạm Minh Chính kế nhiệm Tô Huy Rứa trong chức vụ Trưởng ban Tổ chức Trung ương, Tô Huy Rứa giữ chức vụ Giám đốc Học viện Chính trị Quốc gia Hồ Chí Minh từ 2004-04 đến 2006-04. Đúng hay sai?",2,"[""pol436788"", ""SUCCEEDED"", ""pol318392"", ""TERM_DURATION"", ""DURATION_từ 2004-04 đến 2006-04""]",Normal
47,"Đặng Vũ Minh kế nhiệm Nguyễn Văn Hiệu trong chức vụ Chủ tịch Viện Khoa học và Công nghệ Việt Nam, Nguyễn Văn Hiệu được trao tặng Huân chương Bảo vệ tổ quốc hạng Nhất (Nhà nước Campuchia tặng). Đúng hay sai?",2,"[""pol237619"", ""SUCCEEDED"", ""pol55279"", ""AWARDED"", ""awa102743_010""]",Normal
48,"Lê Minh Trí kế nhiệm Nguyễn Hòa Bình trong chức vụ Viện trưởng Viện kiểm sát nhân dân tối cao, Nguyễn Hòa Bình phục vụ trong Công an nhân dân Việt Nam. Đúng hay sai?",2,"[""pol1749503"", ""SUCCEEDED"", ""pol806867"", ""SERVED_IN"", ""mil436788_001""]",Normal
49,"Nguyễn Thanh Nghị kế nhiệm Hồ Tiến Thiệu trong chức vụ Trưởng Ban Chính sách, Chiến lược Trung ương, Hồ Tiến Thiệu là tiền nhiệm của Phan Văn Mãi trong chức vụ Phó Bí thư Thường trực Thành ủy Thành phố Hồ Chí Minh, Phan Văn Mãi giữ chức vụ Phó Bí thư Thành ủy Thành phố Hồ Chí Minh từ 2023-12-29 đến 2025-02-18. Đúng hay sai?",3,"[""pol592361"", ""SUCCEEDED"", ""pol19436222"", ""PRECEDED"", ""pol3340042"", ""TERM_DURATION"", ""DURATION_từ 2023-12-29 đến 2025-02-18""]",Normal
50,"Bùi Ngọc Hòa kế nhiệm Đặng Quang Phương trong chức vụ Phó Chánh án Thường trực Tòa án nhân dân tối cao Việt Nam, Đặng Quang Phương sinh năm 1953. Đúng hay sai?",2,"[""pol7515124"", ""SUCCEEDED"", ""pol7509983"", ""BORN_YEAR"", ""YEAR_1953""]",Normal
51,"Nguyễn Trọng Nghĩa kế nhiệm Võ Văn Thưởng trong chức vụ Trưởng Ban Tuyên giáo Trung ương, Võ Văn Thưởng kế nhiệm Nông Quốc Tuấn trong chức vụ Chủ tịch Hội Liên hiệp Thanh niên Việt Nam, Nông Quốc Tuấn giữ chức vụ Thứ trưởng, Phó Chủ nhiệm Ủy ban Dân tộc Việt Nam (lần 1) từ 2008-01-28 đến 2009-04-21. Đúng hay sai?",3,"[""pol3156606"", ""SUCCEEDED"", ""pol248258"", ""SUCCEEDED"", ""pol71123"", ""TERM_DURATION"", ""DURATION_từ 2008-01-28 đến 2009-04-21""]",Normal
52,"Võ Văn Thưởng kế nhiệm Vương Quốc Tuấn trong chức vụ Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam, Vương Quốc Tuấn sinh năm 1977 tại Quảng Nam. Đúng hay sai?",2,"[""pol248258"", ""SUCCEEDED"", ""pol19666121"", ""BORN_AT"", ""loc1463245_001""]",Normal
53,"Nguyễn Thanh Nghị kế nhiệm Trần Lưu Quang trong chức vụ Trưởng Ban Chính sách, Chiến lược Trung ương, Trần Lưu Quang là tiền nhiệm của Đỗ Quang Thành trong chức vụ Phó Bí thư Thường trực Thành ủy Thành phố Hồ Chí Minh, Đỗ Quang Thành giữ chức vụ Phó Bí thư Thường trực Thành ủy Thành phố Hồ Chí Minh từ 2021-06-01 đến 2023-12-29. Đúng hay sai?",3,"[""pol592361"", ""SUCCEEDED"", ""pol798260"", ""PRECEDED"", ""pol3699248"", ""TERM_DURATION"", ""DURATION_từ 2021-06-01 đến 2023-12-29""]",Normal
54,"Phan Như Lâm kế nhiệm Trương Quang Được trong chức vụ Chủ tịch Hội đồng Nhân dân Tp Đà Nẵng, Trương Quang Được được trao tặng Huân chương Hồ Chí Minh. Đúng hay sai?",2,"[""pol15075013"", ""SUCCEEDED"", ""pol1462803"", ""AWARDED"", ""awa1462803_001""]",Normal
55,"Trần Công Thuật là tiền nhiệm của Trần Thắng trong chức vụ Chủ tịch Ủy ban nhân dân tỉnh Quảng Bình, Trần Thắng có học vị Tiến sĩ ngành điều khiển học. Đúng hay sai?",2,"[""pol1464867"", ""PRECEDED"", ""pol19604239"", ""HAS_ACADEMIC_TITLE"", ""aca15768254_001""]",Normal
56,"Đinh Đức Thiện là tiền nhiệm của Trần Sâm trong chức vụ Chủ nhiệm Tổng cục Hậu cần, Trần Sâm mất năm 2009. Đúng hay sai?",2,"[""pol10656"", ""PRECEDED"", ""pol60031"", ""DIED_YEAR"", ""YEAR_2009""]",Normal
57,"Phạm Minh Chính kế nhiệm Vũ Đức Đam trong chức vụ Bí thư Tỉnh ủy Quảng Ninh, Vũ Đức Đam giữ chức vụ Phó Trưởng ban Thường trực, Ban Chỉ đạo Quốc gia phòng chống dịch COVID-19 từ 2021-08-25 đến 2023-01-05. Đúng hay sai?",2,"[""pol436788"", ""SUCCEEDED"", ""pol475335"", ""TERM_DURATION"", ""DURATION_từ 2021-08-25 đến 2023-01-05""]",Normal
58,"Phạm Đình Nghị kế nhiệm Đoàn Hồng Phong trong chức vụ Chủ tịch Ủy ban nhân dân tỉnh Nam Định, Đoàn Hồng Phong sinh năm 1963 tại Hoà Bình. Đúng hay sai?",2,"[""pol3710418"", ""SUCCEEDED"", ""pol3229399"", ""BORN_AT"", ""loc3581718_001""]",Normal
59,"Trần Công Thuật kế nhiệm Nguyễn Huy Tiến trong chức vụ Chủ tịch Ủy ban nhân dân tỉnh Quảng Bình, Nguyễn Huy Tiến sinh năm 1958. Đúng hay sai?",2,"[""pol1464867"", ""SUCCEEDED"", ""pol13470599"", ""BORN_YEAR"", ""YEAR_1958""]",Normal
